Deutschland 	Germany  	German  	German
Frankreich 	France 	French  	Frenchman (-woman)
Spanien 	Spain 	Spanish  	Spaniard
Österreich 	Austria  	German 	Austrian
Belgien 	Belgium  	French / Dutch 	Belgian
Finnland 	Finland  	Finnish 	Finn
Griechenland 	Greece 	Greek 	Greek
Italien 	Italy  	Italian 	Italian
Norwegen 	Norway 	Norwegian 	Norwegian
Russland 	Russia  	Russian 	Russian
Polen 	Poland  	Polish 	Pole
Slowakei 	Slovakia  	Slovakian 	Slovak
Slowenien 	Slovenia 	Slovenian 	Slovenian
Schweiz 	Switzerland  	German / French / Italian 	Swiss
Türkei 	Turkey  	Turkish 	Turk
Großbritannien 	Great Britain  	English 	Englishman
Albanien 	Albania 	Albanian 	Albanian
Weißrussland 	Belarus  	Belarusian 	Belarusian
Kroatien 	Croatia 	Croatian 	Croate
Bulgarien 	Bulgaria 	Bulgarian 	Bulgarian
Dänemark 	Denmark  	Danish 	Dane
Liechtenstein 	Liechtenstein 	German 	Liechtensteiner
Schweden 	Sweden 	Swedish 	Swede
Malta 	Malta 	Maltese 	Maltese
Irland 	Ireland  	English 	Irish
Andorra 	Andorra  	Catalan 	Andorran
Zypern 	Cyprus  	Greek / Turkish 	Cyprian / Cypriote
Bosnien und Herzegowina   Bosnia and Herzegovina
Croatian 	Bosnian
Lettland 	Latvia  	Latvian 	Latvian
Luxemburg 	Luxembourg 	Luxembourg 	Luxembourger
Rumänien 	Romania  	Romanian 	Romanian
San Marino 	San Marino 	Italian 	San Marinese
Serbien 	Serbia  	Serbian 	Serb
Estland 	Estonia  	Estonian 	Estonian
die Niederlande 	the Netherlands  	Dutch 	Dutchman
Ukraine 	Ukraine 	Urainian 	Ukrainian
Portugal 	Portugal  	Portuguese 	Portuguese
Montenegro 	Montenegro  	Serbian 	Montenegrin
Moldavien 	Moldova  	Romanian 	Moldavian
Island 	Iceland  	Icelandic 	Icelander
Tschechien 	Czech Republic  	Czech 	Czech
Bulgarien 	Bulgaria 	Bulgarian 	Bulgarian
Ungarn 	Hungary  	Hungarian 	Hungarian
Litauen 	Lithuania 	Lithuanian 	Lithuanian
Mazedonien  Macedonia Macedonian 	Macedonian
Monaco 	Monaco 	French 	Monacan
Thailand 	Thailand  	Thai  	Thai
Südkorea 	South Korea  	Korean 	Korean
die Philippinen 	the Philippines  	Filipino 	Filipino
Oman 	Oman  	Arabic 	Omanian
Nordkorea 	North Korea  	Korean 	Korean
Japan 	Japan  	Japanese 	Japanese
China 	China 	Chinese / Mandarin 	Chinese
Indien 	India 	Hindi  	Indian
Bangladesch 	Bangladesh 	Bangla  	Bengali
Afghanistan 	Afghanistan 	Pushtu / Dari Persian 	Afghan
Bhutan 	Bhutan  	Dzongkha 	Bhote
Myanmar 	Myanmar 	Burmese   Burman
Nepal 	Nepal  	Nepali 	Nepalese / Nepali
Tadschikistan 	Tajikistan  	Tajik 	Tajik
Jemen 	Yemen  	Arabic 	Yemeni
Türkei 	Turkey  	Turkish 	Turk
Taiwan 	Taiwan  	Chinese 	Taiwanese
Pakistan 	Pakistan  	Punjabi / Sindhi / Siraiki / Pashtu / Urdu 	Punjabi / Sindhi / Pashtun
Russland 	Russia  	Russian 	Russian
Laos 	Laos 	Lao 	Laotian
Jordanien 	Jordan 	Arabic  	Jordanian
Iran 	Iran  	Farsi / Azari / Kurdish / Arabic 	Iranian
Georgien 	Georgia 	Georgian 	Georgian
Syrien 	Syria 	Arabic  	Syrian
Turkmenistan 	Turkmenistan 	Turkmen 	Turkmen
Sri Lanka 	Sri Lanka 	Sinhala / Tamil / English 	Sri Lankan
Singapur 	Singapore 	Malay / Chinese / Tamil  	Singaporean
Malediven 	Maldives 	Dhivehi / Arabic / Hindi 	Maldivian
Libanon 	Lebanon 	Arabic 	Arab
Kasachstan 	Kasakhstan 	Kazak  	Kazak
Brunei 	Brunei 	Malay 	Bruneian
Zypern 	Cyprus 	Greek / Turkish 	Cyprian
Vereinigte Arabische Emirate 	United Arab Emirates 	Ariabian 	inhabitant of the UAE
Vietnam 	Vietnam 	Vietnamese 	Vietnamese
Katar 	Qatar 	Arabic 	Qatari
Kirgistan 	Kyrgyzstan 	Kyrgyz  	Kyrgyz
Kambodscha 	Cambodia 	Khmer 	Cambodian
Armenien 	Armenia 	Armenian 	Armenian
Osttimor 	East Timor 	Tetum / Portuguese 	inhabitant of East Timor
Irak 	Iraq 	Arabic / Kurdish 	Iraqi
Kuwait 	Kuwait 	Arabic  	Kuwaiti
Mongolei 	Mongolia 	Mongolian 	Mongol
Aserbaidschan 	Azerbaijan 	Azerbaijani 	Azerbaijani
Bahrain 	Bahrain 	Arabic 	Bahraini
Indonesien 	Indonesia 	Bahasa Indonesia 	Indonesian
Israel 	Israel 	Hebrew  	Israeli
Malaysia 	Malaysia 	Malay / Chinese / Tamil 	Malay
Saudi-Arabien 	Saudi Arabia 	Arabic 	Saudi
Usbekistan 	Uzbekistan  Uzbek / Russian / Tajik   Uzbek
